徳,"とく,あつ,なる,のり,ゆき,よし"
柳,"なぎ,や,やい,やぎ,やな,やない"
春,"はる,あずま,かす,すの,ひ,わら"
雄,"ゆう,かつ,たけ,つよし,ゆ,よう"
昭,"あき,あきら,かず,かずみ,てる"
晃,"あき,あきら,てる,ひかる,みつ"
皓,"あき,あきら,てる,ひろ,ひろし"
睦,"あつ,ちか,む,むつ,むね,よし"
郁,"あや,い,か,かおる,ふみ,ゆう"
泉,"いず,ずい,ずみ,ぜい,ぜん,の"
九,"いちじく,いちのく,この,ひさし"
吉,"え,き,きっ,きる,こし,と,よ"
渡,"お,たり,わたな,わたら,わたり"
将,"かつ,かつり,すすむ,たか,ゆき"
湛,"かん,きよ,たたう,たたえ,やす"
喜,"き,あき,きゅ,のぶ,ゆき,よし"
久,"く,ひさ,きゅ,なが,ひさし,わ"
晋,"くに,すすみ,すすむ,のぶ,ゆき"
浩,"こう,ひろ,こお,ひろし,ゆたか"
修,"しゅう,おき,おさむ,なが,のぶ"
是,"すなお,ただし,つな,ゆき,よし"
武,"たけ,う,お,たけし,たけん,ん"
忠,"ただ,きよし,たた,ただし,なお"
稔,"とし,なり,なる,ね,み,みのる"
永,"なが,え,と,のり,ひさ,ひさし"
晶,"あ,あき,あきら,ひかり,まさ"
玲,"あき,あきら,たま,りょう,れ"
嗣,"あき,つかさ,つぎ,つぐ,ひで"
茨,"あし,えばら,ばら,まつ,まん"
惣,"あしむ,おさむ,そ,ふさ,みち"
敦,"あつ,あつし,つる,のぶ,のり"
伊,"い,いと,これ,だ,ただ,よし"
郎,"いら,お,とう,もん,ろ,ろお"
保,"う,お,ぶ,もり,やす,やすし"
峻,"おか,たか,たかし,ちか,とし"
脩,"おさ,おさむ,なが,のぶ,はる"
馨,"か,かおる,かほる,きよ,よし"
葛,"か,かず,かずら,かっ,かつら"
頭,"かみ,がみ,ちゃん,づ,つむり"
恭,"きよ,やす,やすし,ゆき,よし"
群,"ぐ,ぐり,ごうり,こお,こおり"
維,"これ,たもつ,つぐ,ゆい,ゆき"
目,"さかん,さがん,さっか,さつか"
慎,"しん,ちか,のり,まこと,みつ"
甫,"すけ,とし,なみ,はじめ,よし"
高,"たか,か,こ,じょい,た,はか"
悌,"ちか,とも,やす,やすし,よし"
元,"ちか,はじめ,はる,ゆき,よし"
利,"とし,かが,と,のり,み,りい"
倫,"とも,のり,ひとし,ひろ,みち"
道,"みち,おさむ,さ,じ,ど,みつ"
南,"みなみ,なみ,は,みな,みまみ"
相,"あ,い,おう,さ,さが,すけ"
瑛,"あき,あきら,え,てる,よう"
純,"あつ,すみ,み,やすし,よし"
礼,"あや,なり,のり,ひろし,れ"
五,"い,さ,さつ,ち,ふ,み,め"
伯,"いき,えき,か,き,は,ひろ"
迪,"いたる,すすみ,すすむ,ゆう"
積,"か,さか,しゃこ,ずみ,つみ"
哉,"か,すけ,ちか,とし,はじめ"
壽,"かず,じ,とし,ひさ,ひさし"
嘉,"かず,ひろ,よ,よし,よしみ"
貴,"ぎ,きよ,たか,たかし,よし"
北,"きた,きら,ほう,ほっ,ほつ"
洸,"たけし,ひかり,ひろ,ひろし"
立,"たち,たっ,たつ,だて,つい"
亘,"とうる,のぶ,ひさし,わたる"
洋,"なだ,ひろ,ひろし,よ,よし"
八,"や,な,は,はっ,やち,やつ"
朝,"あ,あそ,ささ,ちか,とも"
朗,"あき,あきら,お,さえ,ろ"
征,"いく,そ,ただ,まさ,ゆき"
厳,"いつ,いづ,きゅうら,とし"
邑,"お,おう,おお,くに,さと"
月,"おと,がっ,す,ずき,もり"
香,"か,こ,こお,ひゃん,よし"
宜,"き,たか,のぶ,のり,よし"
陸,"くが,たち,みち,む,むつ"
眞,"さな,ち,まこ,まさ,まつ"
駿,"する,とし,はやお,はやし"
享,"たか,たかし,とおる,みち"
登,"たか,のぼし,のぼり,のり"
卓,"たく,すぐる,たか,たかし"
常,"つね,とき,のぶ,ひ,ひた"
円,"つぶら,のぶ,まどか,みつ"
通,"どうし,どおり,とん,みち"
松,"まつ,おお,しょ,ま,まっ"
美,"み,はる,よし,よしみ,り"
章,"あき,あきら,あや,ふみ"
尭,"あき,たか,たかし,のり"
寧,"あき,やす,やすし,よし"
侑,"あつむ,すすむ,ゆ,ゆき"
子,"い,き,ぎ,く,け,ねっ"
角,"い,す,すみ,ずみ,ふさ"
宇,"いえ,たか,ひろ,ひろし"
入,"いり,いる,に,の,りり"
奥,"お,おお,おん,つ,のく"
臣,"おみ,たか,と,とみ,み"
甲,"かぶと,き,まさ,まさる"
都,"くに,ず,ち,づめ,みや"
宅,"け,たか,たけ,や,やけ"
恒,"こう,のぶ,ひさ,ひさし"
尊,"さだ,たか,たけ,みこと"
治,"し,ぢ,はり,はる,みち"
慈,"しげ,ちか,めぐみ,よし"
崇,"す,たか,たかし,たかむ"
規,"すのり,ただし,のり,み"
原,"た,ばる,ら,わた,わら"
孝,"たか,たかし,のり,よし"
斉,"ただ,なり,ひと,ひとし"
辰,"たつ,とき,のぶ,のぶる"
敏,"とし,さとし,ちょう,び"
稚,"まさ,わか,わく,わっか"
義,"よし,ただし,ちか,のり"
足,"あ,あす,おす,たらし"
旭,"あき,あきら,てる,ひ"
徹,"あき,つ,てっ,とおる"
家,"あり,え,く,つか,べ"
引,"いな,ひき,びき,ひけ"
面,"お,ずら,ほおつき,も"
沢,"おも,さ,さわん,わさ"
江,"くん,とうみ,み,りえ"
人,"じ,と,ね,ひこ,ふみ"
鎮,"しげ,しん,じん,ちか"
連,"ずれ,つれ,むらじ,れ"
仲,"ちゅん,つづき,なかつ"
築,"つい,つき,づき,つく"
直,"なお,すぐ,のう,のお"
西,"にし,いり,ひし,むら"
苗,"ねい,のら,みう,みつ"
展,"のぶ,のり,ひろ,ゆき"
至,"のぶ,のり,みち,よし"
波,"ひら,みな,みなみ,わ"
弥,"ひろ,みつ,よ,わたる"
藤,"ふじ,ぞう,と,ふじゅ"
満,"ま,みち,みつ,みつる"
宷,"あきら,さい,さだか"
彩,"あや,さ,さえ,つや"
指,"い,いぶ,さし,さす"
驍,"いさ,いさむ,すぐる"
内,"いと,ただ,ち,のち"
穂,"お,こう,のり,ほい"
鶴,"か,ず,たず,つ,づ"
賀,"か,のり,よし,より"
萬,"かず,ま,ゆる,よし"
勝,"かつ,かち,と,よし"
次,"き,すき,つぐ,よし"
澄,"きよ,すす,すみ,み"
六,"く,むつ,ろっ,ろつ"
来,"くり,くる,ごろ,さ"
好,"こ,たか,とし,よし"
彦,"こ,ひろ,やす,よし"
後,"こし,し,しい,しり"
笹,"さ,さき,じね,しの"
猿,"さ,ざる,さわ,まし"
貞,"さざ,ただし,りょう"
門,"じょう,と,も,ゆき"
志,"じん,べ,べし,ゆき"
能,"たか,の,のり,よし"
猛,"たけ,たけし,たける"
間,"ちか,は,はざ,はし"
富,"とみ,と,とん,ふっ"
中,"なか,あたる,かなえ"
弌,"はじめ,ひと,ひとつ"
博,"ひろ,ぐれ,と,はか"
山,"やま,さ,やの,やん"
朱,"あ,あか,あき,す"
碧,"あお,たま,みどり"
彬,"あき,あきら,よし"
鏡,"あき,かが,かがん"
諒,"あき,まこと,まさ"
卯,"あきら,い,しげる"
井,"い,いの,さい,ひ"
飯,"いい,い,いり,え"
威,"いさ,たけ,たけし"
稲,"いの,しね,せ,な"
遠,"お,おに,ど,どお"
種,"おい,くさ,た,ほ"
王,"おお,おおきみ,わ"
巨,"おお,か,こ,なお"
岳,"おか,たか,たけん"
興,"おき,おこっ,とも"
女,"おな,た,つき,な"
冠,"か,かっぷ,まさる"
巧,"かつ,たくみ,よし"
克,"かつ,まさる,よし"
川,"かわ,か,こ,さわ"
如,"き,ね,ゆき,よし"
玄,"けん,はる,はるか"
織,"こおり,こり,のり"
早,"さか,さわ,そ,わ"
重,"さね,しげ,しげる"
七,"し,しっ,な,ひち"
宿,"すく,ぶすき,やけ"
造,"ずくり,づくり,み"
輔,"すけ,たすく,ゆう"
済,"すむ,なり,わたる"
嵩,"たか,たかし,たけ"
矩,"ただし,つね,のり"
肇,"ただし,とし,はつ"
樋,"て,と,とよ,とわ"
流,"な,ながれ,めぐる"
胖,"なお,ひろ,ゆたか"
野,"の,ずけ,つけ,ぬ"
劉,"のぶ,みずち,らう"
祝,"のり,ほぎ,ゆわい"
宏,"ひろ,あつ,ひろし"
汎,"ひろ,ひろし,みな"
丸,"まる,ま,わ,わに"
村,"むら,え,むた,ら"
映,"あきら,え,てる"
錦,"あや,かね,にし"
府,"い,う,お,はん"
衛,"い,まもる,もり"
逸,"いっ,はや,へん"
占,"うら,しむ,じめ"
銀,"うん,かな,かね"
乃,"お,おさむ,のり"
夫,"お,と,ゆう,よ"
近,"おう,おお,この"
皇,"おうじ,おお,み"
太,"おお,たか,ひろ"
押,"おし,おす,おや"
首,"おびと,こべ,す"
匂,"おり,こう,さぎ"
開,"か,はる,ひらき"
胤,"かず,つぎ,つぐ"
憲,"かず,のり,よし"
容,"かた,ひろ,まさ"
樺,"かも,から,かん"
苅,"かり,かる,かん"
木,"き,ぐ,も,もと"
刀,"き,ち,と,わき"
切,"きつ,きり,ぎり"
啄,"くち,はし,ばし"
暮,"ぐらし,ぐれ,ぽ"
楽,"さ,た,やす,ら"
前,"さき,さと,まい"
實,"さな,さね,みつ"
滋,"し,しげ,しげる"
欣,"し,やすし,よし"
蕃,"しげ,しげる,ば"
珠,"す,とも,ま,み"
伻,"すき,すみ,とり"
傑,"すぐ,たけ,まさ"
淑,"すく,とし,よし"
佑,"すけ,たすく,ゆ"
虞,"すけ,もち,やす"
丹,"た,たみ,まこと"
馬,"た,ばん,め,も"
秦,"たい,はだ,やす"
隆,"たか,お,たかし"
延,"たか,のぶ,のべ"
建,"たけ,たつ,たて"
惟,"ただ,のぶ,よし"
司,"つ,つか,つかさ"
卋,"つぎ,つぐ,とき"
庸,"つね,のぶ,やす"
袋,"てい,ない,ぶく"
部,"とり,ふ,ぺ,ま"
撫,"なで,なでし,む"
凡,"なみ,ひろ,みな"
令,"のり,りょう,れ"
服,"はっ,はつ,はら"
源,"はら,みな,もと"
本,"ほん,ごう,まと"
蒔,"まい,まか,まき"
寄,"よせ,より,よろ"
怜,"れ,さと,さとし"
若,"わか,わく,わこ"
赤,"あ,あこ,あま"
庵,"あ,い,いほり"
粟,"あ,さっ,そう"
歩,"あ,ゆき,ゆみ"
白,"あき,か,はっ"
聰,"あきら,さとし"
侃,"あきら,ただし"
防,"あた,う,ほう"
肥,"い,こい,ひえ"
